Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
家,가,집,,"家長 - 가장 (patriarch)
家族 - 가족 (family)
國家 - 국가 (state)
國家的 - 국가적 (national, state)
大家族 - 대가족 (big family)
歷史家 - 역사가 (historian)
","宀, 豕",7II,6
佳,가,아름다울,,,"化, 土",3II,2
街,가,거리,,"街路 - 가로 (street)
街路燈 - 가로등 (a street light)
舊市街地 - 구시가지 (an old section of a city)
街路樹 - 가로수 (a roadside tree)
新市街地 - 신시가지 (a new section of a city)
","土, 彳, 行",4II,3II
可,가,옳을,,"可能 - 가능 (possibility)
可能- - 가능하다 (to be possible)
可能- - 가능해지다 (to become possible)
可能性 - 가능성 (potentiality)
認可 - 인가 (license)
不可能- - 불가능하다 (impossible)
","一, 亅, 口",5,4
歌,가,노래,,"哀歌 - 애가 (elegy)
歌謠 - 가요 (a song)
歌手 - 가수 (singer)
歌詞 - 가사 (words, lyrics)
聖歌 - 성가 (chant)
唱歌 - 창가 (song)
","亅, 口, 欠",7,6
加,가,더할,,"追加 - 추가 (an addition)
追加- - 추가하다 (to add sth, to supplement)
追加- - 추가되다 (to be added)
加數 - 가수 (addend)
加入 - 가입 (join (a membership))
參加 - 참가 (participation)
","力, 口",5,4
價,가,값,,"價格 - 가격 (cost)
評價 - 평가 (valuation)
價値 - 가치 (value)
再評價 - 재평가 (reappraisal)
代價 - 대가 (price)
市價 - 시가 (market price)
","化, 西, 貝",5II,4II
假,가,거짓,,"假裝 - 가장 (masquerade)
假裝 - 가장하다 (masquerade)
假數 - 가수 (mantissa)
假定 - 가정 (supposition)
假想 - 가상 (imagination)
假- - 가짜 (fake, forgery, imitation, counterfeit)
","｜, 化, 又","Reading error 假, 7","Writing error 假, 7"
架,가,시렁,,"十字架 - 십자가 (cross)
書架 - 서가 (bookshelf)
","力, 口, 木",3II,2
暇,가,겨를,,"休暇 - 휴가 (furlough)
閑暇- - 한가하다 (to be free, not busy)
餘暇 - 여가 (leisure)
賜暇 - 사가 (furlough)
","又, 日",4,3
各,각,각각,,"各 - 각 (each; every)
各各 - 각각 (respectively)
各種 - 각종 (all sorts, all varieties)
各自 - 각자 (each one, every one)
各國 - 각국 (every country)
各其 - 각기 (each, respectively)
","口, 夂, 攵",6II,5II
角,각,뿔,,"角速度 - 각속도 (angular velocity)
視角 - 시각 (angle/point of view)
角度 - 각도 (angle)
內角 - 내각 (interior angle)
總角 - 총각 (a bachelor, a single man)
角膜 - 각막 (cornea)
","｜, 勹, 月, 角",6II,5II
脚,각,다리,,"脚氣 - 각기 (beriberi)
脚本 - 각본 (scenario)
三脚 - 삼각 (tripod)
脚注 - 각주 (footnote)
脚光 - 각광 (footlights)
脚絆 - 각반 (gaiter)
","卩, 厶, 土, 月",3II,2
閣,각,누각,,,"口, 夂, 門",3II,2
却,각,물리칠,,"賣却 - 매각 (sale)
冷却 - 냉각 (refrigeration)
却下 - 각하 (rejection)
退却 - 퇴각 (retreat)
退却 - 퇴각하다 (retreat)
燒却 - 소각 (incineration)
","卩, 厶, 土",3,2
覺,각,깨달을,,"視覺 - 시각 (vision)
感覺 - 감각 (sensation)
感覺的 - 감각적인 (sensuous)
錯覺 - 착각 (hallucination, illusion, mistake a for b)
錯覺- - 착각하다 (to mistake a for b, illusion, delusion, to be having illucinations)
知覺 - 지각 (perception)
","冖, 爻, 臼, 見",4,3
刻,각,새길,,"深刻- - 심각하다 (to be serious, grave)
深刻- - 심각해지다 (to get serious)
彫刻 - 조각 (sculpture)
彫刻 - 조각하다 (grave)
時刻 - 시각 (time, hour)
飜刻 - 번각하다 (reprint)
","亠, 刈",4,3
干,간,방패,,"若干 - 약간 (somewhat)
干涉 - 간섭 (interfere, meddle, butt in on, intrude)
欄干 - 난간 (handrail)
如干 - 여간  (some, a little)
干潮 - 간조 (low tide)
","一, 十, 干",4,3
間,간,사이,,"時間 - 시간 (time)
間 - 간 (the interval between)
人間 - 인간 (a person, a human being)
人間的 - 인간적인 (human)
人間性 - 인간성 (human nature)
瞬間 - 순간 (moment)
","日, 門",7II,6
看,간,볼,,"看護師 - 간호사 (nurse)
看護 - 간호하는 (nursing)
看護 - 간호하다 (nurse)
看板 - 간판 (signboard)
看破 - 간파하다 (penetrate)
","一, ノ, 二, 手, 目",4,3
刊,간,새길,,"夕刊 - 석간 (evening paper)
","刈, 干",3II,2
肝,간,간,,"肝 - 간 (liver)
肝炎 - 간염 (hepatitis)
","干, 月",3II,2
幹,간,줄기,,"幹部 - 간부 (executive management)
幹線 - 간선 (trunk line)
","个, 十, 干, 日",3II,2
簡,간,대쪽,,"簡單- - 간단하다 (to be simple)
簡單- - 간단히 (simply speaking)
簡便- - 간편하다 (simplicity, convenience)
簡潔 - 간결 (brevity)
簡素 - 간소 (simplicity)
書簡 - 서간 (epistle)
","日, 竹, 門",4,3
姦,간,간음할,,"姦夫 - 간부 (adulterer)
姦通 - 간통 (adultery)
獸姦 - 수간 (sodomy)
",女,3,2
懇,간,간절할,,"懇請 - 간청 (request)
","犯, 心, 爪, 艮, 豸",3II,2
渴,갈,목마를,,"渴症 - 갈증 (thirst)
",,3,2
甘,감,달,,"甘味― - 감미롭다 (sweet, mellow)
甘草 - 감초 (licorice)
",甘,4,3
