Hanja,Pronunciation,Meaning_K,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level,Strokes,Meaning_E
家,가,집,,"家長 - 가장 (patriarch)
","宀, 豕",7II,6,10,"house,  home,  residence;  family "
佳,가,아름다울,,,"化, 土",3II,2,8,"good,  auspicious;  beautiful;  delightful "
街,가,거리,,"街路 - 가로 (street)
","土, 彳, 行",4II,3II,12,"street,  road,  thoroughfare "
可,가,옳을,,"可能 - 가능 (possibility)
","一, 亅, 口",5,4,5,"may,  can,  able;  possibly "
歌,가,노래,,"哀歌 - 애가 (elegy)
","亅, 口, 欠",7,6,14,"song,  lyrics;  sing,  chant;  praise "
加,가,더할,,"追加 - 추가 (an addition)
","力, 口",5,4,5,"add  to,  increase,  augment "
價,가,값,,"價格 - 가격 (cost)
","化, 西, 貝",5II,4II,15,"price,  value "
假,가,거짓,,"假裝 - 가장 (masquerade)
","｜, 化, 又",4II,3II,11,"falsehood,  deception;  vacation "
架,가,시렁,,"十字架 - 십자가 (cross)
","力, 口, 木",3II,2,9,"rack,  stand,  prop;  prop  up "
暇,가,겨를,,"休暇 - 휴가 (furlough)
","又, 日",4,3,13,"leisure,  relaxation,  spare  time "
各,각,각각,,"各 - 각 (each; every)
","口, 夂, 攵",6II,5II,6,"each,  individually,  every,  all "
角,각,뿔,,"角速度 - 각속도 (angular velocity)
","｜, 勹, 月, 角",6II,5II,7,"horn;  angle,  corner;  point "
脚,각,다리,,"脚氣 - 각기 (beriberi)
","卩, 厶, 土, 月",3II,2,11,"leg,  foot;  base,  leg,  foundation "
閣,각,누각,,,"口, 夂, 門",3II,2,14,"chamber,  pavilion;  cabinet "
却,각,물리칠,,"賣却 - 매각 (sale)
","卩, 厶, 土",3,2,7,"still,  but;  decline;  retreat "
覺,각,깨달을,,"視覺 - 시각 (vision)
","冖, 爻, 臼, 見",4,3,20,to  wake  up  from  sleep;  conscious 
刻,각,새길,,"深刻- - 심각하다 (to be serious, grave)
","亠, 刈",4,3,8,"carve,  engrave;  quarter  hour "
干,간,방패,,"若干 - 약간 (somewhat)
","一, 十, 干",4,3,3,"oppose,  offend;  invade;  dried "
間,간,사이,,"時間 - 시간 (time)
","日, 門",7II,6,12,"interval,  space;  place,  between "
看,간,볼,,"看護師 - 간호사 (nurse)
","一, ノ, 二, 手, 目",4,3,9,"look,  see;  examine,  scrutinize "
刊,간,새길,,"夕刊 - 석간 (evening paper)
","刈, 干",3II,2,5,"publication,  periodical;  publish "
肝,간,간,,"肝 - 간 (liver)
","干, 月",3II,2,7,liver 
幹,간,줄기,,"幹部 - 간부 (executive management)
","个, 十, 干, 日",3II,2,13,trunk  of  tree  or  of  human  body 
簡,간,대쪽,,"簡單- - 간단하다 (to be simple)
","日, 竹, 門",4,3,18,"simple,  terse,  succinct;  letter "
姦,간,간음할,,"姦夫 - 간부 (adulterer)
",女,3,2,9,"adultery,  debauchery;  debauch "
懇,간,간절할,,"懇請 - 간청 (request)
","犯, 心, 爪, 艮, 豸",3II,2,17,"sincere,  earnest,  cordial "
渴,갈,목마를,,"渴症 - 갈증 (thirst)
",,3,2,12,"thirsty,  parched;  yearn,  pine "
甘,감,달,,"甘味― - 감미롭다 (sweet, mellow)
",甘,4,3,,"sweetness;  sweet,  tasty "
減,감,덜,,"減少 - 감소 (reduction)
","亅, 口, 汁, 戈",4II,3II,12,"decrease,  subtract,  diminish "
感,감,느낄,,"感謝 - 감사하다 (thank)
","ノ, 口, 心, 戈",6,5,13,"feel,  perceive,  emotion "
敢,감,감히,,"敢- - 감히 (daringly, boldly)
","攵, 耳",4,3,11,"to  dare,  venture;  bold,  brave "
監,감,볼,,"監査 - 감사 (audit)
","二, 皿, 臣",4II,3II,14,"supervise,  control,  direct "
鑑,감,거울,,"鑑賞 - 감상 (appreciation)
","二, 皿, 臣, 金",3II,2,22,"mirror,  looking  glass;  reflect "
甲,갑,갑옷,,"甲板 - 갑판 (deck)
","｜, 日, 田",4,3,5,"armor,  shell;  fingernails;  st  heavenly  stem "
江,강,강,,"江 - 강 (river)
","工, 汁",7II,6,6,large  river;  yangzi;  surname 
降,강,내릴,,"降下 - 강하 (fall)
","十, 夂, 阡",4,3,8,"descend,  fall,  drop;  lower,  down "
講,강,익힐,,"講和 - 강화 (peace)
","一, 冂, 十, 言",4II,3II,17,explain;  discuss;  talk 
強,강,굳셀,,,"厶, 弓, 虫",6,5,11,"strong,  powerful,  energetic "
康,강,편안할,,"健康 - 건강 (health)
","广, ヨ, 水, 隶",4II,3II,11,"peaceful,  quiet;  happy,  healthy "
剛,강,굳셀,,"金剛山 - 금강산 (Diamond mountain)
","八, 冂, 刈, 山, 岡",3II,2,10,"hard,  tough,  rigid,  strong "
鋼,강,강철,,"鋼鐵 - 강철 (steel)
","八, 冂, 山, 金, 岡",3II,2,16,"steel;  hard,  strong,  tough "
綱,강,벼리,,"大綱 - 대강 (approximately, crude, broad, rough, generally)
","一, 八, 冂, 山, 糸, 岡",3II,2,14,"heavy  rope,  hawser;  main  points "
改,개,고칠,,"改革 - 개혁 (reformation)
","已, 攵",5,4,7,"change,  alter;  improve,  remodel "
皆,개,다,,,"比, 白",3,2,9,"all,  every,  everybody "
個,개,낱,,"個 - 개 (unit or  piece)
","化, 十, 口, 囗",4II,3II,10,"numerary  adjunct,  piece;  single "
開,개,열,,"公開 - 공개 (opening to the public, making public)
","一, 廾, 門",6,5,12,"open;  initiate,  begin,  start "
介,개,낄,,"紹介 - 소개 (introduction)
","个, 八",3II,2,4,"forerunner,  herald,  harbinger;  to  lie  between;  sea  shell;  to  wear  armor "
慨,개,슬퍼할,,"憤慨 - 분개 (resentment)
","忙, 牙, 艮",3,2,12,"sigh,  regret;  generous "
槪,개,대개,,"槪念 - 개념 (notion)
",,3II,2,15,generally 
蓋,개,덮을,,"頭蓋 - 두개 (cranium)
","厶, 土, 艾, 皿",3II,2,13,"cover,  hide,  protect "
客,객,손님,,"顧客 - 고객 (customer)
","口, 夂, 宀",5II,4II,9,"guest,  traveller;  customer "
更,갱,다시,,"變更 - 변경 (change, alteration)
","一, ノ, 日",4,3,7,"more,  still  further,  much  more "
去,거,갈,,"過去 - 과거 (the past)
","厶, 土",5,4,5,"go  away,  leave,  depart "
巨,거,클,,"巨大 - 거대 (huge)
","匚, 巨",4,3,4,"large,  great,  enormous;  chief "
居,거,살,,"居住 - 거주 (residence)
","十, 口, 尸",4,3,8,"live,  dwell,  reside,  sit "
車,거,수레,차,"車 - 차 (a vehicle)
",車,7II,6,7,"cart,  vehicle;  carry  in  cart "
擧,거,들,,"科擧 - 과거 (the state examination)
","八, 手, 臼",5,4,17,"raise,  lift  up;  recommend "
距,거,떨어질,,"距離 - 거리 (distance)
","匚, 口, 巨, 足",3II,2,11,distance;  bird' s  spur 
拒,거,막을,,"拒否 - 거부 (refusal)
","匚, 扎, 巨",4,3,7,"ward  off  with  hand,  defend "
